dataset,datim_dataelement,shortname,code,dataelement,dataelementuid,dataelementdesc,categoryoptioncombo,categoryoptioncombocode,categoryoptioncombouid,,,
MER Results: Facility Based,"CXCA_SCRN (N, DSD, Age/Sex/HIVStatus/ScreenResult/ScreenVisitType): On ART screened for cervical cancer.","CXCA_SCRN (N, DSD, Age/Sex/HIV/Scrn/Visit)",CXCA_SCRN_N_DSD_Age_Sex_HIV_Scrn_Visit,,XboLlTkc4Av,Number of HIV-positive women on ART screened for cervical cancer,"15-19, Female, Positive, Cervical Cancer Screened - First Time, Cervical Cancer - Negative",dh4TQ68p2SC,dh4TQ68p2SC,,,
MER Results: Facility Based,"CXCA_SCRN (N, DSD, Age/Sex/HIVStatus/ScreenResult/ScreenVisitType): On ART screened for cervical cancer.","CXCA_SCRN (N, DSD, Age/Sex/HIV/Scrn/Visit)",CXCA_SCRN_N_DSD_Age_Sex_HIV_Scrn_Visit,,XboLlTkc4Av,Number of HIV-positive women on ART screened for cervical cancer,"15-19, Female, Positive, Cervical Cancer Screened - First Time, Cervical Cancer - Positive",fJ4uotAMsvK,fJ4uotAMsvK,,,
MER Results: Facility Based,"CXCA_SCRN (N, DSD, Age/Sex/HIVStatus/ScreenResult/ScreenVisitType): On ART screened for cervical cancer.","CXCA_SCRN (N, DSD, Age/Sex/HIV/Scrn/Visit)",CXCA_SCRN_N_DSD_Age_Sex_HIV_Scrn_Visit,,XboLlTkc4Av,Number of HIV-positive women on ART screened for cervical cancer,"15-19, Female, Positive, Cervical Cancer Screened - First Time, Cervical Cancer - Suspected",nI9rG3vPWQz,nI9rG3vPWQz,,,
MER Results: Facility Based,"CXCA_SCRN (N, DSD, Age/Sex/HIVStatus/ScreenResult/ScreenVisitType): On ART screened for cervical cancer.","CXCA_SCRN (N, DSD, Age/Sex/HIV/Scrn/Visit)",CXCA_SCRN_N_DSD_Age_Sex_HIV_Scrn_Visit,,XboLlTkc4Av,Number of HIV-positive women on ART screened for cervical cancer,"15-19, Female, Positive, Cervical Cancer Screened - Follow Up, Cervical Cancer - Negative",vTXvoz46XKy,vTXvoz46XKy,,,
MER Results: Facility Based,"CXCA_SCRN (N, DSD, Age/Sex/HIVStatus/ScreenResult/ScreenVisitType): On ART screened for cervical cancer.","CXCA_SCRN (N, DSD, Age/Sex/HIV/Scrn/Visit)",CXCA_SCRN_N_DSD_Age_Sex_HIV_Scrn_Visit,,XboLlTkc4Av,Number of HIV-positive women on ART screened for cervical cancer,"15-19, Female, Positive, Cervical Cancer Screened - Follow Up, Cervical Cancer - Positive",FNkgb5PwxEL,FNkgb5PwxEL,,,
MER Results: Facility Based,"CXCA_SCRN (N, DSD, Age/Sex/HIVStatus/ScreenResult/ScreenVisitType): On ART screened for cervical cancer.","CXCA_SCRN (N, DSD, Age/Sex/HIV/Scrn/Visit)",CXCA_SCRN_N_DSD_Age_Sex_HIV_Scrn_Visit,,XboLlTkc4Av,Number of HIV-positive women on ART screened for cervical cancer,"15-19, Female, Positive, Cervical Cancer Screened - Follow Up, Cervical Cancer - Suspected",wIDT7S8yul9,wIDT7S8yul9,,,
MER Results: Facility Based,"CXCA_SCRN (N, DSD, Age/Sex/HIVStatus/ScreenResult/ScreenVisitType): On ART screened for cervical cancer.","CXCA_SCRN (N, DSD, Age/Sex/HIV/Scrn/Visit)",CXCA_SCRN_N_DSD_Age_Sex_HIV_Scrn_Visit,,XboLlTkc4Av,Number of HIV-positive women on ART screened for cervical cancer,"15-19, Female, Positive, Cervical Cancer Screened - Rescreened, Cervical Cancer - Negative",d5py8JDlLGK,d5py8JDlLGK,,,
MER Results: Facility Based,"CXCA_SCRN (N, DSD, Age/Sex/HIVStatus/ScreenResult/ScreenVisitType): On ART screened for cervical cancer.","CXCA_SCRN (N, DSD, Age/Sex/HIV/Scrn/Visit)",CXCA_SCRN_N_DSD_Age_Sex_HIV_Scrn_Visit,,XboLlTkc4Av,Number of HIV-positive women on ART screened for cervical cancer,"15-19, Female, Positive, Cervical Cancer Screened - Rescreened, Cervical Cancer - Positive",BvS7Re5cqaR,BvS7Re5cqaR,,,
MER Results: Facility Based,"CXCA_SCRN (N, DSD, Age/Sex/HIVStatus/ScreenResult/ScreenVisitType): On ART screened for cervical cancer.","CXCA_SCRN (N, DSD, Age/Sex/HIV/Scrn/Visit)",CXCA_SCRN_N_DSD_Age_Sex_HIV_Scrn_Visit,,XboLlTkc4Av,Number of HIV-positive women on ART screened for cervical cancer,"15-19, Female, Positive, Cervical Cancer Screened - Rescreened, Cervical Cancer - Suspected",cd8dhsMl4u8,cd8dhsMl4u8,,,
MER Results: Facility Based,"CXCA_SCRN (N, DSD, Age/Sex/HIVStatus/ScreenResult/ScreenVisitType): On ART screened for cervical cancer.","CXCA_SCRN (N, DSD, Age/Sex/HIV/Scrn/Visit)",CXCA_SCRN_N_DSD_Age_Sex_HIV_Scrn_Visit,,XboLlTkc4Av,Number of HIV-positive women on ART screened for cervical cancer,"20-24, Female, Positive, Cervical Cancer Screened - First Time, Cervical Cancer - Negative",pdCeAB4EYYM,pdCeAB4EYYM,,,
MER Results: Facility Based,"CXCA_SCRN (N, DSD, Age/Sex/HIVStatus/ScreenResult/ScreenVisitType): On ART screened for cervical cancer.","CXCA_SCRN (N, DSD, Age/Sex/HIV/Scrn/Visit)",CXCA_SCRN_N_DSD_Age_Sex_HIV_Scrn_Visit,,XboLlTkc4Av,Number of HIV-positive women on ART screened for cervical cancer,"20-24, Female, Positive, Cervical Cancer Screened - First Time, Cervical Cancer - Positive",HMzo64LcweA,HMzo64LcweA,,,
MER Results: Facility Based,"CXCA_SCRN (N, DSD, Age/Sex/HIVStatus/ScreenResult/ScreenVisitType): On ART screened for cervical cancer.","CXCA_SCRN (N, DSD, Age/Sex/HIV/Scrn/Visit)",CXCA_SCRN_N_DSD_Age_Sex_HIV_Scrn_Visit,,XboLlTkc4Av,Number of HIV-positive women on ART screened for cervical cancer,"20-24, Female, Positive, Cervical Cancer Screened - First Time, Cervical Cancer - Suspected",bUHsLsQL80m,bUHsLsQL80m,,,
MER Results: Facility Based,"CXCA_SCRN (N, DSD, Age/Sex/HIVStatus/ScreenResult/ScreenVisitType): On ART screened for cervical cancer.","CXCA_SCRN (N, DSD, Age/Sex/HIV/Scrn/Visit)",CXCA_SCRN_N_DSD_Age_Sex_HIV_Scrn_Visit,,XboLlTkc4Av,Number of HIV-positive women on ART screened for cervical cancer,"20-24, Female, Positive, Cervical Cancer Screened - Follow Up, Cervical Cancer - Negative",zfwWsfantIG,zfwWsfantIG,,,
MER Results: Facility Based,"CXCA_SCRN (N, DSD, Age/Sex/HIVStatus/ScreenResult/ScreenVisitType): On ART screened for cervical cancer.","CXCA_SCRN (N, DSD, Age/Sex/HIV/Scrn/Visit)",CXCA_SCRN_N_DSD_Age_Sex_HIV_Scrn_Visit,,XboLlTkc4Av,Number of HIV-positive women on ART screened for cervical cancer,"20-24, Female, Positive, Cervical Cancer Screened - Follow Up, Cervical Cancer - Positive",q9RNbYbFLzq,q9RNbYbFLzq,,,
MER Results: Facility Based,"CXCA_SCRN (N, DSD, Age/Sex/HIVStatus/ScreenResult/ScreenVisitType): On ART screened for cervical cancer.","CXCA_SCRN (N, DSD, Age/Sex/HIV/Scrn/Visit)",CXCA_SCRN_N_DSD_Age_Sex_HIV_Scrn_Visit,,XboLlTkc4Av,Number of HIV-positive women on ART screened for cervical cancer,"20-24, Female, Positive, Cervical Cancer Screened - Follow Up, Cervical Cancer - Suspected",ntc3I6eR3Rn,ntc3I6eR3Rn,,,
MER Results: Facility Based,"CXCA_SCRN (N, DSD, Age/Sex/HIVStatus/ScreenResult/ScreenVisitType): On ART screened for cervical cancer.","CXCA_SCRN (N, DSD, Age/Sex/HIV/Scrn/Visit)",CXCA_SCRN_N_DSD_Age_Sex_HIV_Scrn_Visit,,XboLlTkc4Av,Number of HIV-positive women on ART screened for cervical cancer,"20-24, Female, Positive, Cervical Cancer Screened - Rescreened, Cervical Cancer - Negative",ND2ANrlId51,ND2ANrlId51,,,
MER Results: Facility Based,"CXCA_SCRN (N, DSD, Age/Sex/HIVStatus/ScreenResult/ScreenVisitType): On ART screened for cervical cancer.","CXCA_SCRN (N, DSD, Age/Sex/HIV/Scrn/Visit)",CXCA_SCRN_N_DSD_Age_Sex_HIV_Scrn_Visit,,XboLlTkc4Av,Number of HIV-positive women on ART screened for cervical cancer,"20-24, Female, Positive, Cervical Cancer Screened - Rescreened, Cervical Cancer - Positive",ZUGJKpGoLTT,ZUGJKpGoLTT,,,
MER Results: Facility Based,"CXCA_SCRN (N, DSD, Age/Sex/HIVStatus/ScreenResult/ScreenVisitType): On ART screened for cervical cancer.","CXCA_SCRN (N, DSD, Age/Sex/HIV/Scrn/Visit)",CXCA_SCRN_N_DSD_Age_Sex_HIV_Scrn_Visit,,XboLlTkc4Av,Number of HIV-positive women on ART screened for cervical cancer,"20-24, Female, Positive, Cervical Cancer Screened - Rescreened, Cervical Cancer - Suspected",RtD5GeaLlJe,RtD5GeaLlJe,,,
MER Results: Facility Based,"CXCA_SCRN (N, DSD, Age/Sex/HIVStatus/ScreenResult/ScreenVisitType): On ART screened for cervical cancer.","CXCA_SCRN (N, DSD, Age/Sex/HIV/Scrn/Visit)",CXCA_SCRN_N_DSD_Age_Sex_HIV_Scrn_Visit,,XboLlTkc4Av,Number of HIV-positive women on ART screened for cervical cancer,"25-29, Female, Positive, Cervical Cancer Screened - First Time, Cervical Cancer - Negative",qgGxi9db8sQ,qgGxi9db8sQ,,,
MER Results: Facility Based,"CXCA_SCRN (N, DSD, Age/Sex/HIVStatus/ScreenResult/ScreenVisitType): On ART screened for cervical cancer.","CXCA_SCRN (N, DSD, Age/Sex/HIV/Scrn/Visit)",CXCA_SCRN_N_DSD_Age_Sex_HIV_Scrn_Visit,,XboLlTkc4Av,Number of HIV-positive women on ART screened for cervical cancer,"25-29, Female, Positive, Cervical Cancer Screened - First Time, Cervical Cancer - Positive",vW2cAkyRE1o,vW2cAkyRE1o,,,
